0	1330	AA	1330
1	1350	AA	1350
2	1315	AA	1315
3	1310	AA	1310
4	1385	AA	1385
5	1372	AA	1372
6	1301	AA	1301
7	2308B	AA	2308B
8	2318	AA	2318
9	2312	AA	2312
10	2308	AA	2308
11	2308A	AA	2308A
12	2400D	AA	2400D
13	2406	AA	2406
14	2406A	AA	2406A
15	2410	AA	2410
16	2422	AA	2422
17	2400B	AA	2400B
18	2400A	AA	2400A
19	2550	AA	2550
20	2550	AA	2550
21	3330	AA	3330
22	3325	AA	3325
23	3410	AA	3410
24	3320	AA	3320
25	3304	AA	3304
26	3420	AA	3420
27	3430	AA	3430
28	3462	AA	3462
29	3100	AA	3100
30	4382	AA	4382
31	4362	AA	4362
32	4336	AA	4336
33	4300	AA	4300
34	4530	AA	4530
35	4100	AA	4100
36	5300	AA	5300
37	5382	AA	5382
38	5336	AA	5336
39	B130	AA	B130
40	B110	AA	B110
41	B120	AA	B120
42	B510	AA	B510
43	110	AH	110
44	104	AH	104
45	107	AH	107
46	200	AH	200
47	302	AH	302
48	306	AH	306
49	310	AH	310
50	303	AH	303
51	307	AH	307
52	311	AH	311
53	121	BH	121
54	220	BH	220
55	209	BH	209
56	208	BH	208
57	204	BH	204
58	205	BH	205
59	316	BH	316
60	317	BH	317
61	308	BH	308
62	309	BH	309
63	304	BH	304
64	305	BH	305
65	B6	BH	B6
66	B10	BH	B10
67	B11	BH	B11
68	B21	BH	B21
69	1028	BSB	1028
70	1077	BSB	1077
71	1075	BSB	1075
72	1076	BSB	1076
73	1171	BSB	1171
74	1129	BSB	1129
75	1169	BSB	1169
76	1167	BSB	1167
77	137	BSB	137
78	161	BSB	161
79	163	BSB	163
80	165	BSB	165
81	167	BSB	167
82	135	BSB	135
83	133	BSB	133
84	131	BSB	131
85	181	BSB	181
86	185	BSB	185
87	187	BSB	187
88	140	BSB	140
89	145	BSB	145
90	113	BSB	113
91	115	BSB	115
92	117	BSB	117
93	119	BSB	119
94	2019	BSB	2019
95	2057	BSB	2057
96	2105	BSB	2105
97	2167	BSB	2167
98	263	BSB	263
99	265	BSB	265
100	267	BSB	267
101	269	BSB	269
102	231	BSB	231
103	233	BSB	233
104	235	BSB	235
105	237	BSB	237
106	219	BSB	219
107	215	BSB	215
108	211	BSB	211
109	250	BSB	250
110	285	BSB	285
111	281	BSB	281
112	289	BSB	289
113	3151	BSB	3151
114	381	BSB	381
115	385	BSB	385
116	389	BSB	389
117	3005	BSB	3005
118	365	BSB	365
119	367	BSB	367
120	369	BSB	369
121	361	BSB	361
122	339	BSB	339
123	337	BSB	337
124	335	BSB	335
125	331	BSB	331
126	311	BSB	311
127	315	BSB	315
128	319	BSB	319
129	4102	BSB	4102
130	4105	BSB	4105
131	4133	BSB	4133
132	100	DH	100
133	104	DH	104
134	118	DH	118
135	204	DH	204
136	210	DH	210
137	214	DH	214
138	221	DH	221
139	217	DH	217
140	213	DH	213
141	209	DH	209
142	205	DH	205
143	304	DH	304
144	316	DH	316
145	1012	EPAS	1012
146	1433	EPAS	1433
147	1419	EPAS	1419
148	1417	EPAS	1417
149	2011	EPAS	2011
150	2217	EPAS	2217
151	2219	EPAS	2219
152	2233	EPAS	2233
153	2235	EPAS	2235
154	2417	EPAS	2417
155	2419	EPAS	2419
156	2433	EPAS	2433
157	2435	EPAS	2435
158	4425	EPAS	4425
159	4417	EPAS	4417
160	4229	EPAS	4229
161	4310	EPAS	4310
162	1003	ERF	1003
163	1023	ERF	1023
